JSON Name,M,N,K,m,n,k
1x32x80w1-32-80,1,32,80,0,32,80
1x32x240w1-32-80,1,32,240,0,32,80
1x32x400w1-32-80,1,32,400,0,32,80
1x32x560w1-32-80,1,32,560,0,32,80
1x32x720w1-32-80,1,32,720,0,32,80
1x64x80w1-32-80,1,64,80,0,32,80
1x64x240w1-32-80,1,64,240,0,32,80
1x64x400w1-32-80,1,64,400,0,32,80
1x64x560w1-32-80,1,64,560,0,32,80
1x64x720w1-32-80,1,64,720,0,32,80
1x96x80w1-32-80,1,96,80,0,32,80
1x96x240w1-32-80,1,96,240,0,32,80
1x96x400w1-32-80,1,96,400,0,32,80
1x96x560w1-32-80,1,96,560,0,32,80
1x96x720w1-32-80,1,96,720,0,32,80
1x128x80w1-32-80,1,128,80,0,32,80
1x128x240w1-32-80,1,128,240,0,32,80
1x128x400w1-32-80,1,128,400,0,32,80
1x128x560w1-32-80,1,128,560,0,32,80
1x128x720w1-32-80,1,128,720,0,32,80
1x160x80w1-32-80,1,160,80,0,32,80
1x160x240w1-32-80,1,160,240,0,32,80
1x160x400w1-32-80,1,160,400,0,32,80
1x160x560w1-32-80,1,160,560,0,32,80
1x160x720w1-32-80,1,160,720,0,32,80
1x192x80w1-32-80,1,192,80,0,32,80
1x192x240w1-32-80,1,192,240,0,32,80
1x192x400w1-32-80,1,192,400,0,32,80
1x192x560w1-32-80,1,192,560,0,32,80
1x192x720w1-32-80,1,192,720,0,32,80
1x224x80w1-32-80,1,224,80,0,32,80
1x224x240w1-32-80,1,224,240,0,32,80
1x224x400w1-32-80,1,224,400,0,32,80
1x224x560w1-32-80,1,224,560,0,32,80
1x224x720w1-32-80,1,224,720,0,32,80
1x256x80w1-32-80,1,256,80,0,32,80
1x256x240w1-32-80,1,256,240,0,32,80
1x256x400w1-32-80,1,256,400,0,32,80
1x256x560w1-32-80,1,256,560,0,32,80
1x256x720w1-32-80,1,256,720,0,32,80
1x288x80w1-32-80,1,288,80,0,32,80
1x288x240w1-32-80,1,288,240,0,32,80
1x288x400w1-32-80,1,288,400,0,32,80
1x288x560w1-32-80,1,288,560,0,32,80
1x288x720w1-32-80,1,288,720,0,32,80
1x32x85w1-32-85,1,32,85,0,32,85
1x32x255w1-32-85,1,32,255,0,32,85
1x32x425w1-32-85,1,32,425,0,32,85
1x32x595w1-32-85,1,32,595,0,32,85
1x32x765w1-32-85,1,32,765,0,32,85
1x64x85w1-32-85,1,64,85,0,32,85
1x64x255w1-32-85,1,64,255,0,32,85
1x64x425w1-32-85,1,64,425,0,32,85
1x64x595w1-32-85,1,64,595,0,32,85
1x64x765w1-32-85,1,64,765,0,32,85
1x96x85w1-32-85,1,96,85,0,32,85
1x96x255w1-32-85,1,96,255,0,32,85
1x96x425w1-32-85,1,96,425,0,32,85
1x96x595w1-32-85,1,96,595,0,32,85
1x96x765w1-32-85,1,96,765,0,32,85
1x128x85w1-32-85,1,128,85,0,32,85
1x128x255w1-32-85,1,128,255,0,32,85
1x128x425w1-32-85,1,128,425,0,32,85
1x128x595w1-32-85,1,128,595,0,32,85
1x128x765w1-32-85,1,128,765,0,32,85
1x160x85w1-32-85,1,160,85,0,32,85
1x160x255w1-32-85,1,160,255,0,32,85
1x160x425w1-32-85,1,160,425,0,32,85
1x160x595w1-32-85,1,160,595,0,32,85
1x160x765w1-32-85,1,160,765,0,32,85
1x192x85w1-32-85,1,192,85,0,32,85
1x192x255w1-32-85,1,192,255,0,32,85
1x192x425w1-32-85,1,192,425,0,32,85
1x192x595w1-32-85,1,192,595,0,32,85
1x192x765w1-32-85,1,192,765,0,32,85
1x224x85w1-32-85,1,224,85,0,32,85
1x224x255w1-32-85,1,224,255,0,32,85
1x224x425w1-32-85,1,224,425,0,32,85
1x224x595w1-32-85,1,224,595,0,32,85
1x224x765w1-32-85,1,224,765,0,32,85
1x256x85w1-32-85,1,256,85,0,32,85
1x256x255w1-32-85,1,256,255,0,32,85
1x256x425w1-32-85,1,256,425,0,32,85
1x256x595w1-32-85,1,256,595,0,32,85
1x256x765w1-32-85,1,256,765,0,32,85
1x288x85w1-32-85,1,288,85,0,32,85
1x288x255w1-32-85,1,288,255,0,32,85
1x288x425w1-32-85,1,288,425,0,32,85
1x288x595w1-32-85,1,288,595,0,32,85
1x288x765w1-32-85,1,288,765,0,32,85
1x32x90w1-32-90,1,32,90,0,32,90
1x32x270w1-32-90,1,32,270,0,32,90
1x32x450w1-32-90,1,32,450,0,32,90
1x32x630w1-32-90,1,32,630,0,32,90
1x32x810w1-32-90,1,32,810,0,32,90
1x64x90w1-32-90,1,64,90,0,32,90
1x64x270w1-32-90,1,64,270,0,32,90
1x64x450w1-32-90,1,64,450,0,32,90
1x64x630w1-32-90,1,64,630,0,32,90
1x64x810w1-32-90,1,64,810,0,32,90
1x96x90w1-32-90,1,96,90,0,32,90
1x96x270w1-32-90,1,96,270,0,32,90
1x96x450w1-32-90,1,96,450,0,32,90
1x96x630w1-32-90,1,96,630,0,32,90
1x96x810w1-32-90,1,96,810,0,32,90
1x128x90w1-32-90,1,128,90,0,32,90
1x128x270w1-32-90,1,128,270,0,32,90
1x128x450w1-32-90,1,128,450,0,32,90
1x128x630w1-32-90,1,128,630,0,32,90
1x128x810w1-32-90,1,128,810,0,32,90
1x160x90w1-32-90,1,160,90,0,32,90
1x160x270w1-32-90,1,160,270,0,32,90
1x160x450w1-32-90,1,160,450,0,32,90
1x160x630w1-32-90,1,160,630,0,32,90
1x160x810w1-32-90,1,160,810,0,32,90
1x192x90w1-32-90,1,192,90,0,32,90
1x192x270w1-32-90,1,192,270,0,32,90
1x192x450w1-32-90,1,192,450,0,32,90
1x192x630w1-32-90,1,192,630,0,32,90
1x192x810w1-32-90,1,192,810,0,32,90
1x224x90w1-32-90,1,224,90,0,32,90
1x224x270w1-32-90,1,224,270,0,32,90
1x224x450w1-32-90,1,224,450,0,32,90
1x224x630w1-32-90,1,224,630,0,32,90
1x224x810w1-32-90,1,224,810,0,32,90
1x256x90w1-32-90,1,256,90,0,32,90
1x256x270w1-32-90,1,256,270,0,32,90
1x256x450w1-32-90,1,256,450,0,32,90
1x256x630w1-32-90,1,256,630,0,32,90
1x256x810w1-32-90,1,256,810,0,32,90
1x288x90w1-32-90,1,288,90,0,32,90
1x288x270w1-32-90,1,288,270,0,32,90
1x288x450w1-32-90,1,288,450,0,32,90
1x288x630w1-32-90,1,288,630,0,32,90
1x288x810w1-32-90,1,288,810,0,32,90
1x32x95w1-32-95,1,32,95,0,32,95
1x32x285w1-32-95,1,32,285,0,32,95
1x32x475w1-32-95,1,32,475,0,32,95
1x32x665w1-32-95,1,32,665,0,32,95
1x32x855w1-32-95,1,32,855,0,32,95
1x64x95w1-32-95,1,64,95,0,32,95
1x64x285w1-32-95,1,64,285,0,32,95
1x64x475w1-32-95,1,64,475,0,32,95
1x64x665w1-32-95,1,64,665,0,32,95
1x64x855w1-32-95,1,64,855,0,32,95
1x96x95w1-32-95,1,96,95,0,32,95
1x96x285w1-32-95,1,96,285,0,32,95
1x96x475w1-32-95,1,96,475,0,32,95
1x96x665w1-32-95,1,96,665,0,32,95
1x96x855w1-32-95,1,96,855,0,32,95
1x128x95w1-32-95,1,128,95,0,32,95
1x128x285w1-32-95,1,128,285,0,32,95
1x128x475w1-32-95,1,128,475,0,32,95
1x128x665w1-32-95,1,128,665,0,32,95
1x128x855w1-32-95,1,128,855,0,32,95
1x160x95w1-32-95,1,160,95,0,32,95
1x160x285w1-32-95,1,160,285,0,32,95
1x160x475w1-32-95,1,160,475,0,32,95
1x160x665w1-32-95,1,160,665,0,32,95
1x160x855w1-32-95,1,160,855,0,32,95
1x192x95w1-32-95,1,192,95,0,32,95
1x192x285w1-32-95,1,192,285,0,32,95
1x192x475w1-32-95,1,192,475,0,32,95
1x192x665w1-32-95,1,192,665,0,32,95
1x192x855w1-32-95,1,192,855,0,32,95
1x224x95w1-32-95,1,224,95,0,32,95
1x224x285w1-32-95,1,224,285,0,32,95
1x224x475w1-32-95,1,224,475,0,32,95
1x224x665w1-32-95,1,224,665,0,32,95
1x224x855w1-32-95,1,224,855,0,32,95
1x256x95w1-32-95,1,256,95,0,32,95
1x256x285w1-32-95,1,256,285,0,32,95
1x256x475w1-32-95,1,256,475,0,32,95
1x256x665w1-32-95,1,256,665,0,32,95
1x256x855w1-32-95,1,256,855,0,32,95
1x288x95w1-32-95,1,288,95,0,32,95
1x288x285w1-32-95,1,288,285,0,32,95
1x288x475w1-32-95,1,288,475,0,32,95
1x288x665w1-32-95,1,288,665,0,32,95
1x288x855w1-32-95,1,288,855,0,32,95
1x32x100w1-32-100,1,32,100,0,32,100
1x32x300w1-32-100,1,32,300,0,32,100
1x32x500w1-32-100,1,32,500,0,32,100
1x32x700w1-32-100,1,32,700,0,32,100
1x32x900w1-32-100,1,32,900,0,32,100
1x64x100w1-32-100,1,64,100,0,32,100
1x64x300w1-32-100,1,64,300,0,32,100
1x64x500w1-32-100,1,64,500,0,32,100
1x64x700w1-32-100,1,64,700,0,32,100
1x64x900w1-32-100,1,64,900,0,32,100
1x96x100w1-32-100,1,96,100,0,32,100
1x96x300w1-32-100,1,96,300,0,32,100
1x96x500w1-32-100,1,96,500,0,32,100
1x96x700w1-32-100,1,96,700,0,32,100
1x96x900w1-32-100,1,96,900,0,32,100
1x128x100w1-32-100,1,128,100,0,32,100
1x128x300w1-32-100,1,128,300,0,32,100
1x128x500w1-32-100,1,128,500,0,32,100
1x128x700w1-32-100,1,128,700,0,32,100
1x128x900w1-32-100,1,128,900,0,32,100
1x160x100w1-32-100,1,160,100,0,32,100
1x160x300w1-32-100,1,160,300,0,32,100
1x160x500w1-32-100,1,160,500,0,32,100
1x160x700w1-32-100,1,160,700,0,32,100
1x160x900w1-32-100,1,160,900,0,32,100
1x192x100w1-32-100,1,192,100,0,32,100
1x192x300w1-32-100,1,192,300,0,32,100
1x192x500w1-32-100,1,192,500,0,32,100
1x192x700w1-32-100,1,192,700,0,32,100
1x192x900w1-32-100,1,192,900,0,32,100
1x224x100w1-32-100,1,224,100,0,32,100
1x224x300w1-32-100,1,224,300,0,32,100
1x224x500w1-32-100,1,224,500,0,32,100
1x224x700w1-32-100,1,224,700,0,32,100
1x224x900w1-32-100,1,224,900,0,32,100
1x256x100w1-32-100,1,256,100,0,32,100
1x256x300w1-32-100,1,256,300,0,32,100
1x256x500w1-32-100,1,256,500,0,32,100
1x256x700w1-32-100,1,256,700,0,32,100
1x256x900w1-32-100,1,256,900,0,32,100
1x288x100w1-32-100,1,288,100,0,32,100
1x288x300w1-32-100,1,288,300,0,32,100
1x288x500w1-32-100,1,288,500,0,32,100
1x288x700w1-32-100,1,288,700,0,32,100
1x288x900w1-32-100,1,288,900,0,32,100
1x32x105w1-32-105,1,32,105,0,32,105
1x32x315w1-32-105,1,32,315,0,32,105
1x32x525w1-32-105,1,32,525,0,32,105
1x32x735w1-32-105,1,32,735,0,32,105
1x32x945w1-32-105,1,32,945,0,32,105
1x64x105w1-32-105,1,64,105,0,32,105
1x64x315w1-32-105,1,64,315,0,32,105
1x64x525w1-32-105,1,64,525,0,32,105
1x64x735w1-32-105,1,64,735,0,32,105
1x64x945w1-32-105,1,64,945,0,32,105
1x96x105w1-32-105,1,96,105,0,32,105
1x96x315w1-32-105,1,96,315,0,32,105
1x96x525w1-32-105,1,96,525,0,32,105
1x96x735w1-32-105,1,96,735,0,32,105
1x96x945w1-32-105,1,96,945,0,32,105
1x128x105w1-32-105,1,128,105,0,32,105
1x128x315w1-32-105,1,128,315,0,32,105
1x128x525w1-32-105,1,128,525,0,32,105
1x128x735w1-32-105,1,128,735,0,32,105
1x128x945w1-32-105,1,128,945,0,32,105
1x160x105w1-32-105,1,160,105,0,32,105
1x160x315w1-32-105,1,160,315,0,32,105
1x160x525w1-32-105,1,160,525,0,32,105
1x160x735w1-32-105,1,160,735,0,32,105
1x160x945w1-32-105,1,160,945,0,32,105
1x192x105w1-32-105,1,192,105,0,32,105
1x192x315w1-32-105,1,192,315,0,32,105
1x192x525w1-32-105,1,192,525,0,32,105
1x192x735w1-32-105,1,192,735,0,32,105
1x192x945w1-32-105,1,192,945,0,32,105
1x224x105w1-32-105,1,224,105,0,32,105
1x224x315w1-32-105,1,224,315,0,32,105
1x224x525w1-32-105,1,224,525,0,32,105
1x224x735w1-32-105,1,224,735,0,32,105
1x224x945w1-32-105,1,224,945,0,32,105
1x256x105w1-32-105,1,256,105,0,32,105
1x256x315w1-32-105,1,256,315,0,32,105
1x256x525w1-32-105,1,256,525,0,32,105
1x256x735w1-32-105,1,256,735,0,32,105
1x256x945w1-32-105,1,256,945,0,32,105
1x288x105w1-32-105,1,288,105,0,32,105
1x288x315w1-32-105,1,288,315,0,32,105
1x288x525w1-32-105,1,288,525,0,32,105
1x288x735w1-32-105,1,288,735,0,32,105
1x288x945w1-32-105,1,288,945,0,32,105
1x40x80w1-40-80,1,40,80,0,40,80
1x40x240w1-40-80,1,40,240,0,40,80
1x40x400w1-40-80,1,40,400,0,40,80
1x40x560w1-40-80,1,40,560,0,40,80
1x40x720w1-40-80,1,40,720,0,40,80
1x80x80w1-40-80,1,80,80,0,40,80
1x80x240w1-40-80,1,80,240,0,40,80
1x80x400w1-40-80,1,80,400,0,40,80
1x80x560w1-40-80,1,80,560,0,40,80
1x80x720w1-40-80,1,80,720,0,40,80
1x120x80w1-40-80,1,120,80,0,40,80
1x120x240w1-40-80,1,120,240,0,40,80
1x120x400w1-40-80,1,120,400,0,40,80
1x120x560w1-40-80,1,120,560,0,40,80
1x120x720w1-40-80,1,120,720,0,40,80
1x160x80w1-40-80,1,160,80,0,40,80
1x160x240w1-40-80,1,160,240,0,40,80
1x160x400w1-40-80,1,160,400,0,40,80
1x160x560w1-40-80,1,160,560,0,40,80
1x160x720w1-40-80,1,160,720,0,40,80
1x200x80w1-40-80,1,200,80,0,40,80
1x200x240w1-40-80,1,200,240,0,40,80
1x200x400w1-40-80,1,200,400,0,40,80
1x200x560w1-40-80,1,200,560,0,40,80
1x200x720w1-40-80,1,200,720,0,40,80
1x240x80w1-40-80,1,240,80,0,40,80
1x240x240w1-40-80,1,240,240,0,40,80
1x240x400w1-40-80,1,240,400,0,40,80
1x240x560w1-40-80,1,240,560,0,40,80
1x240x720w1-40-80,1,240,720,0,40,80
1x280x80w1-40-80,1,280,80,0,40,80
1x280x240w1-40-80,1,280,240,0,40,80
1x280x400w1-40-80,1,280,400,0,40,80
1x280x560w1-40-80,1,280,560,0,40,80
1x280x720w1-40-80,1,280,720,0,40,80
1x320x80w1-40-80,1,320,80,0,40,80
1x320x240w1-40-80,1,320,240,0,40,80
1x320x400w1-40-80,1,320,400,0,40,80
1x320x560w1-40-80,1,320,560,0,40,80
1x320x720w1-40-80,1,320,720,0,40,80
1x360x80w1-40-80,1,360,80,0,40,80
1x360x240w1-40-80,1,360,240,0,40,80
1x360x400w1-40-80,1,360,400,0,40,80
1x360x560w1-40-80,1,360,560,0,40,80
1x360x720w1-40-80,1,360,720,0,40,80
1x40x85w1-40-85,1,40,85,0,40,85
1x40x255w1-40-85,1,40,255,0,40,85
1x40x425w1-40-85,1,40,425,0,40,85
1x40x595w1-40-85,1,40,595,0,40,85
1x40x765w1-40-85,1,40,765,0,40,85
1x80x85w1-40-85,1,80,85,0,40,85
1x80x255w1-40-85,1,80,255,0,40,85
1x80x425w1-40-85,1,80,425,0,40,85
1x80x595w1-40-85,1,80,595,0,40,85
1x80x765w1-40-85,1,80,765,0,40,85
1x120x85w1-40-85,1,120,85,0,40,85
1x120x255w1-40-85,1,120,255,0,40,85
1x120x425w1-40-85,1,120,425,0,40,85
1x120x595w1-40-85,1,120,595,0,40,85
1x120x765w1-40-85,1,120,765,0,40,85
1x160x85w1-40-85,1,160,85,0,40,85
1x160x255w1-40-85,1,160,255,0,40,85
1x160x425w1-40-85,1,160,425,0,40,85
1x160x595w1-40-85,1,160,595,0,40,85
1x160x765w1-40-85,1,160,765,0,40,85
1x200x85w1-40-85,1,200,85,0,40,85
1x200x255w1-40-85,1,200,255,0,40,85
1x200x425w1-40-85,1,200,425,0,40,85
1x200x595w1-40-85,1,200,595,0,40,85
1x200x765w1-40-85,1,200,765,0,40,85
1x240x85w1-40-85,1,240,85,0,40,85
1x240x255w1-40-85,1,240,255,0,40,85
1x240x425w1-40-85,1,240,425,0,40,85
1x240x595w1-40-85,1,240,595,0,40,85
1x240x765w1-40-85,1,240,765,0,40,85
1x280x85w1-40-85,1,280,85,0,40,85
1x280x255w1-40-85,1,280,255,0,40,85
1x280x425w1-40-85,1,280,425,0,40,85
1x280x595w1-40-85,1,280,595,0,40,85
1x280x765w1-40-85,1,280,765,0,40,85
1x320x85w1-40-85,1,320,85,0,40,85
1x320x255w1-40-85,1,320,255,0,40,85
1x320x425w1-40-85,1,320,425,0,40,85
1x320x595w1-40-85,1,320,595,0,40,85
1x320x765w1-40-85,1,320,765,0,40,85
1x360x85w1-40-85,1,360,85,0,40,85
1x360x255w1-40-85,1,360,255,0,40,85
1x360x425w1-40-85,1,360,425,0,40,85
1x360x595w1-40-85,1,360,595,0,40,85
1x360x765w1-40-85,1,360,765,0,40,85
1x40x90w1-40-90,1,40,90,0,40,90
1x40x270w1-40-90,1,40,270,0,40,90
1x40x450w1-40-90,1,40,450,0,40,90
1x40x630w1-40-90,1,40,630,0,40,90
1x40x810w1-40-90,1,40,810,0,40,90
1x80x90w1-40-90,1,80,90,0,40,90
1x80x270w1-40-90,1,80,270,0,40,90
1x80x450w1-40-90,1,80,450,0,40,90
1x80x630w1-40-90,1,80,630,0,40,90
1x80x810w1-40-90,1,80,810,0,40,90
1x120x90w1-40-90,1,120,90,0,40,90
1x120x270w1-40-90,1,120,270,0,40,90
1x120x450w1-40-90,1,120,450,0,40,90
1x120x630w1-40-90,1,120,630,0,40,90
1x120x810w1-40-90,1,120,810,0,40,90
1x160x90w1-40-90,1,160,90,0,40,90
1x160x270w1-40-90,1,160,270,0,40,90
1x160x450w1-40-90,1,160,450,0,40,90
1x160x630w1-40-90,1,160,630,0,40,90
1x160x810w1-40-90,1,160,810,0,40,90
1x200x90w1-40-90,1,200,90,0,40,90
1x200x270w1-40-90,1,200,270,0,40,90
1x200x450w1-40-90,1,200,450,0,40,90
1x200x630w1-40-90,1,200,630,0,40,90
1x200x810w1-40-90,1,200,810,0,40,90
1x240x90w1-40-90,1,240,90,0,40,90
1x240x270w1-40-90,1,240,270,0,40,90
1x240x450w1-40-90,1,240,450,0,40,90
1x240x630w1-40-90,1,240,630,0,40,90
1x240x810w1-40-90,1,240,810,0,40,90
1x280x90w1-40-90,1,280,90,0,40,90
1x280x270w1-40-90,1,280,270,0,40,90
1x280x450w1-40-90,1,280,450,0,40,90
1x280x630w1-40-90,1,280,630,0,40,90
1x280x810w1-40-90,1,280,810,0,40,90
1x320x90w1-40-90,1,320,90,0,40,90
1x320x270w1-40-90,1,320,270,0,40,90
1x320x450w1-40-90,1,320,450,0,40,90
1x320x630w1-40-90,1,320,630,0,40,90
1x320x810w1-40-90,1,320,810,0,40,90
1x360x90w1-40-90,1,360,90,0,40,90
1x360x270w1-40-90,1,360,270,0,40,90
1x360x450w1-40-90,1,360,450,0,40,90
1x360x630w1-40-90,1,360,630,0,40,90
1x360x810w1-40-90,1,360,810,0,40,90
1x40x95w1-40-95,1,40,95,0,40,95
1x40x285w1-40-95,1,40,285,0,40,95
1x40x475w1-40-95,1,40,475,0,40,95
1x40x665w1-40-95,1,40,665,0,40,95
1x40x855w1-40-95,1,40,855,0,40,95
1x80x95w1-40-95,1,80,95,0,40,95
1x80x285w1-40-95,1,80,285,0,40,95
1x80x475w1-40-95,1,80,475,0,40,95
1x80x665w1-40-95,1,80,665,0,40,95
1x80x855w1-40-95,1,80,855,0,40,95
1x120x95w1-40-95,1,120,95,0,40,95
1x120x285w1-40-95,1,120,285,0,40,95
1x120x475w1-40-95,1,120,475,0,40,95
1x120x665w1-40-95,1,120,665,0,40,95
1x120x855w1-40-95,1,120,855,0,40,95
1x160x95w1-40-95,1,160,95,0,40,95
1x160x285w1-40-95,1,160,285,0,40,95
1x160x475w1-40-95,1,160,475,0,40,95
1x160x665w1-40-95,1,160,665,0,40,95
1x160x855w1-40-95,1,160,855,0,40,95
1x200x95w1-40-95,1,200,95,0,40,95
1x200x285w1-40-95,1,200,285,0,40,95
1x200x475w1-40-95,1,200,475,0,40,95
1x200x665w1-40-95,1,200,665,0,40,95
1x200x855w1-40-95,1,200,855,0,40,95
1x240x95w1-40-95,1,240,95,0,40,95
1x240x285w1-40-95,1,240,285,0,40,95
1x240x475w1-40-95,1,240,475,0,40,95
1x240x665w1-40-95,1,240,665,0,40,95
1x240x855w1-40-95,1,240,855,0,40,95
1x280x95w1-40-95,1,280,95,0,40,95
1x280x285w1-40-95,1,280,285,0,40,95
1x280x475w1-40-95,1,280,475,0,40,95
1x280x665w1-40-95,1,280,665,0,40,95
1x280x855w1-40-95,1,280,855,0,40,95
1x320x95w1-40-95,1,320,95,0,40,95
1x320x285w1-40-95,1,320,285,0,40,95
1x320x475w1-40-95,1,320,475,0,40,95
1x320x665w1-40-95,1,320,665,0,40,95
1x320x855w1-40-95,1,320,855,0,40,95
1x360x95w1-40-95,1,360,95,0,40,95
1x360x285w1-40-95,1,360,285,0,40,95
1x360x475w1-40-95,1,360,475,0,40,95
1x360x665w1-40-95,1,360,665,0,40,95
1x360x855w1-40-95,1,360,855,0,40,95
1x40x100w1-40-100,1,40,100,0,40,100
1x40x300w1-40-100,1,40,300,0,40,100
1x40x500w1-40-100,1,40,500,0,40,100
1x40x700w1-40-100,1,40,700,0,40,100
1x40x900w1-40-100,1,40,900,0,40,100
1x80x100w1-40-100,1,80,100,0,40,100
1x80x300w1-40-100,1,80,300,0,40,100
1x80x500w1-40-100,1,80,500,0,40,100
1x80x700w1-40-100,1,80,700,0,40,100
1x80x900w1-40-100,1,80,900,0,40,100
1x120x100w1-40-100,1,120,100,0,40,100
1x120x300w1-40-100,1,120,300,0,40,100
1x120x500w1-40-100,1,120,500,0,40,100
1x120x700w1-40-100,1,120,700,0,40,100
1x120x900w1-40-100,1,120,900,0,40,100
1x160x100w1-40-100,1,160,100,0,40,100
1x160x300w1-40-100,1,160,300,0,40,100
1x160x500w1-40-100,1,160,500,0,40,100
1x160x700w1-40-100,1,160,700,0,40,100
1x160x900w1-40-100,1,160,900,0,40,100
1x200x100w1-40-100,1,200,100,0,40,100
1x200x300w1-40-100,1,200,300,0,40,100
1x200x500w1-40-100,1,200,500,0,40,100
1x200x700w1-40-100,1,200,700,0,40,100
1x200x900w1-40-100,1,200,900,0,40,100
1x240x100w1-40-100,1,240,100,0,40,100
1x240x300w1-40-100,1,240,300,0,40,100
1x240x500w1-40-100,1,240,500,0,40,100
1x240x700w1-40-100,1,240,700,0,40,100
1x240x900w1-40-100,1,240,900,0,40,100
1x280x100w1-40-100,1,280,100,0,40,100
1x280x300w1-40-100,1,280,300,0,40,100
1x280x500w1-40-100,1,280,500,0,40,100
1x280x700w1-40-100,1,280,700,0,40,100
1x280x900w1-40-100,1,280,900,0,40,100
1x320x100w1-40-100,1,320,100,0,40,100
1x320x300w1-40-100,1,320,300,0,40,100
1x320x500w1-40-100,1,320,500,0,40,100
1x320x700w1-40-100,1,320,700,0,40,100
1x320x900w1-40-100,1,320,900,0,40,100
1x360x100w1-40-100,1,360,100,0,40,100
1x360x300w1-40-100,1,360,300,0,40,100
1x360x500w1-40-100,1,360,500,0,40,100
1x360x700w1-40-100,1,360,700,0,40,100
1x360x900w1-40-100,1,360,900,0,40,100
1x40x105w1-40-105,1,40,105,0,40,105
1x40x315w1-40-105,1,40,315,0,40,105
1x40x525w1-40-105,1,40,525,0,40,105
1x40x735w1-40-105,1,40,735,0,40,105
1x40x945w1-40-105,1,40,945,0,40,105
1x80x105w1-40-105,1,80,105,0,40,105
1x80x315w1-40-105,1,80,315,0,40,105
1x80x525w1-40-105,1,80,525,0,40,105
1x80x735w1-40-105,1,80,735,0,40,105
1x80x945w1-40-105,1,80,945,0,40,105
1x120x105w1-40-105,1,120,105,0,40,105
1x120x315w1-40-105,1,120,315,0,40,105
1x120x525w1-40-105,1,120,525,0,40,105
1x120x735w1-40-105,1,120,735,0,40,105
1x120x945w1-40-105,1,120,945,0,40,105
1x160x105w1-40-105,1,160,105,0,40,105
1x160x315w1-40-105,1,160,315,0,40,105
1x160x525w1-40-105,1,160,525,0,40,105
1x160x735w1-40-105,1,160,735,0,40,105
1x160x945w1-40-105,1,160,945,0,40,105
1x200x105w1-40-105,1,200,105,0,40,105
1x200x315w1-40-105,1,200,315,0,40,105
1x200x525w1-40-105,1,200,525,0,40,105
1x200x735w1-40-105,1,200,735,0,40,105
1x200x945w1-40-105,1,200,945,0,40,105
1x240x105w1-40-105,1,240,105,0,40,105
1x240x315w1-40-105,1,240,315,0,40,105
1x240x525w1-40-105,1,240,525,0,40,105
1x240x735w1-40-105,1,240,735,0,40,105
1x240x945w1-40-105,1,240,945,0,40,105
1x280x105w1-40-105,1,280,105,0,40,105
1x280x315w1-40-105,1,280,315,0,40,105
1x280x525w1-40-105,1,280,525,0,40,105
1x280x735w1-40-105,1,280,735,0,40,105
1x280x945w1-40-105,1,280,945,0,40,105
1x320x105w1-40-105,1,320,105,0,40,105
1x320x315w1-40-105,1,320,315,0,40,105
1x320x525w1-40-105,1,320,525,0,40,105
1x320x735w1-40-105,1,320,735,0,40,105
1x320x945w1-40-105,1,320,945,0,40,105
1x360x105w1-40-105,1,360,105,0,40,105
1x360x315w1-40-105,1,360,315,0,40,105
1x360x525w1-40-105,1,360,525,0,40,105
1x360x735w1-40-105,1,360,735,0,40,105
1x360x945w1-40-105,1,360,945,0,40,105
1x48x80w1-48-80,1,48,80,0,48,80
